Street Address,City,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,Latitude,Longitude,ID,EV Connector Types,Facility Type
10069 Bridge St,Truckee,96161,Public,24 hours daily; for customer use only,,2,,,39.329364,-120.184234,113482,TESLA,BREWERY_DISTILLERY_WINERY
10918 Brockway Rd,Truckee,96161,Public,24 hours daily; for customer use only; see front desk for access,,1,,,39.324006,-120.169783,113483,TESLA,HOTEL
13031 Ritz Carlton Highlands Ct,Truckee,96161,Public,24 hours daily; for customer use only; see valet for access,,4,,,39.267356,-120.12754,113484,TESLA,HOTEL
908 Northstar Dr,Truckee,96161,Public,24 hours daily,,4,,,39.282064,-120.119807,113488,J1772 TESLA,MUNI_GOV
1600 E Tulare Ave,Tulare,93274,Public,24 hours daily; for customer use only; see front desk for access,,3,,,36.211479,-119.323426,113489,TESLA,RESTAURANT
19400 Tuolumne Rd,Tuolumne,95379,Public,24 hours daily; for customer use only,,8,,,37.973467,-120.238494,113490,J1772 TESLA,HOTEL
3203 Entertainment Wy,Turlock,95380,Public,24 hours daily; for customer use only,,3,,,37.523013,-120.884405,113491,TESLA,RESTAURANT
23251 Hwy 108,Twain Harte,95383,Public,24 hours daily; for customer use only; see front desk for access,,2,,,38.043268,-120.211021,113492,J1772 TESLA,INN
555 S Orchard Ave,Ukiah,95482,Public,24 hours daily; see front desk for access,,3,,,39.146923,-123.197382,113493,J1772 TESLA,HOTEL
693 S Orchard Ave,Ukiah,95482,Public,24 hours daily; see front desk for access,,2,,,39.145192,-123.197539,113494,TESLA,HOTEL
950 N State St,Ukiah,95482,Public,24 hours daily; see front desk for access,,3,,,39.159804,-123.209385,113495,J1772 TESLA,HOTEL
333 Universal Hollywood Dr,Universal City,90068,Public,24 hours daily; see valet for access,,2,,,34.138517,-118.359033,113496,J1772 TESLA,PARKING_GARAGE
9550 Main St,Upper Lake,95485,Public,24 hours daily,,2,,,39.165064,-122.910465,113497,TESLA,HOTEL
7155 Valjean Ave,Van Nuys,91406,Public,24 hours daily; for customer use only,,4,,,34.200613,-118.487033,113498,TESLA,AIRPORT
6580 Auto Center Dr,Ventura,93003,Public,24 hours daily; for customer use only,,3,,,34.244476,-119.198193,113500,J1772 TESLA,OTHER_ENTERTAINMENT
15494 Palmdale Rd,Victorville,92392,Public,24 hours daily; for customer use only,,3,,,34.507929,-117.325725,113501,J1772 TESLA,HOTEL
2201  S Melrose Dr,Vista,92081,Public,24 hours daily; for customer use only; see front desk for access,,2,,,33.14671,-117.242058,113502,J1772 TESLA,HOTEL
1200 Alta Loma Rd,West Hollywood,90069,Public,24 hours daily; for customer use only; see front desk for access,,7,,,34.092197,-118.377336,113503,J1772 TESLA,HOTEL
8300 Sunset Blvd,West Hollywood,90069,Public,24 hours daily; for customer use only; see valet for access,,4,,,34.095888,-118.370972,113505,J1772 TESLA,HOTEL
8400 Sunset Blvd,West Hollywood,90069,Public,24 hours daily; for customer use only,,2,,,34.095078,-118.372589,113506,TESLA,HOTEL
8500 Santa Monica Blvd,West Hollywood,90069,Public,24 hours daily,,3,,,34.088983,-118.376664,113507,TESLA,AUTO_REPAIR
1020 N San Vicente Blvd,West Hollywood,90069,Public,24 hours daily; for customer use only; see valet for access,,2,,,34.089815,-118.385329,113508,J1772 TESLA,HOTEL
2 Dole Dr,Westlake Village,91362,Public,24 hours daily; for customer use only; see valet for access,,4,,,34.151368,-118.804506,113509,J1772 TESLA,HOTEL
880 S Westlake Blvd,Westlake Village,91361,Public,24 hours daily; for customer use only; see front desk for access,,3,,,34.155251,-118.825327,113510,J1772 TESLA,HOTEL
1221 S Main St,Willits,95490,Public,24 hours daily; for customer use only; see front desk for access,,2,,,39.399684,-123.34894,113511,J1772 TESLA,INN
3360 River Rd,Windsor,95492,Public,24 hours daily; for customer use only,,2,,,38.486825,-122.809057,113512,J1772 TESLA,BREWERY_DISTILLERY_WINERY
8937 Brooks Rd S,Windsor,95492,Public,24 hours daily; for customer use only,,2,,,38.548871,-122.807484,113513,TESLA,HOTEL
27850 County Rd 26,Winters,95694,Public,24 hours daily; for customer use only; see front desk for access,,3,,,38.635546,-121.993057,113514,TESLA,INN
13808 Skyline Blvd,Woodside,94062,Public,24 hours daily,,2,,,37.438177,-122.322931,113515,TESLA,RESTAURANT
22677 Oakcrest Cir,Yorba Linda,92887,Public,24 hours daily; for customer use only; see front desk for access,,4,,,33.872461,-117.741086,113516,J1772 TESLA,HOTEL
1 Ahwahnee Dr,Yosemite National Park,95389,Public,24 hours daily; for customer use only,,1,,,37.746673,-119.574149,113517,TESLA,HOTEL
6490 Washington St,Yountville,94599,Public - Call ahead,24 hours daily; for customer use only,,2,,,38.400273,-122.359225,113518,TESLA,BREWERY_DISTILLERY_WINERY
6526 Yount St,Yountville,94599,Public,24 hours daily; for customer use only; see valet for access,,3,,,38.403189,-122.360392,113519,J1772 TESLA,HOTEL
6757 Washington St,Yountville,94599,Public,24 hours daily; for customer use only; see front desk for access,,3,,,38.406023,-122.366826,113520,J1772 TESLA,HOTEL
1951 W Clinton Ave,Fresno,93705,Public,24 hours daily,,7,,,36.77159146,-119.8362773,116759,J1772,OFFICE_BLDG
